,id,popularity,release_date,title,vote_average,vote_count
5628,35052,1.7039,2009-12-04,Cracks,6.6,430
5629,26388,2.4408,2010-09-24,Buried,6.635,2986
5630,9283,1.9188,1996-02-09,Beautiful Girls,6.636,392
5631,873126,1.2883,2022-11-30,My Name Is Vendetta,6.635,642
5632,621870,5.0386,2020-09-25,Secret Society of Second Born Royals,6.6,558
5633,618162,2.1812,2021-10-22,The Harder They Fall,6.635,1174
5634,25095,6.5093,1992-10-16,Wuthering Heights,6.633,300
5635,13672,0.8589,2008-06-04,JCVD,6.635,551
5636,3877,0.8442,2007-09-26,Things We Lost in the Fire,6.635,380
5637,514847,14.0647,2020-03-11,The Hunt,6.6,3538
5638,162215,1.4559,2013-09-10,How I Live Now,6.6,925
5639,27995,0.6114,1986-08-08,She's Gotta Have It,6.634,350
5640,13967,1.7271,2006-12-03,Miss Potter,6.634,537
5641,454458,1.533,2019-05-01,UglyDolls,6.633,461
5642,25095,6.5093,1992-10-16,Wuthering Heights,6.633,300
5643,18415,1.4167,1997-10-17,Gummo,6.633,690
5644,9093,1.9814,2002-09-08,The Four Feathers,6.634,582
5645,558449,15.0376,2024-11-13,Gladiator II,6.632,4230
5646,332794,6.4155,2016-10-12,The Odyssey,6.632,431
5647,320367,0.1506,2015-01-01,Return,6.6,1177
5648,16418,1.4403,2009-02-24,Barbie Presents: Thumbelina,6.6,505
5649,11300,1.0058,1986-11-07,Something Wild,6.632,378
5650,10133,1.2877,2002-10-01,Cypher,6.632,613
5651,2897,13.4559,1956-10-17,Around the World in 80 Days,6.632,559
5652,733668,0.403,,Return,6.631,424
5653,499701,2.7847,2019-08-08,Dora and the Lost City of Gold,6.6,1801
5654,338953,12.2199,2022-04-06,Fantastic Beasts: The Secrets of Dumbledore,6.6,5010
5655,38368,0.8646,2010-06-25,Uncle Boonmee Who Can Recall His Past Lives,6.6,416
5656,12113,2.4442,2008-10-09,Body of Lies,6.63,3253
5657,1064028,8.1501,2024-08-15,Subservience,6.629,945
5658,597891,5.9867,2021-09-10,Kate,6.629,1667
5659,339964,5.3505,2017-07-19,Valerian and the City of a Thousand Planets,6.629,7882
5660,11372,2.1273,1976-12-24,The Eagle Has Landed,6.6,371
5661,10328,2.385,1985-06-21,Cocoon,6.629,1377
5662,9532,13.1027,2000-03-17,Final Destination,6.629,6536
5663,2454,7.7996,2008-05-15,The Chronicles of Narnia: Prince Caspian,6.629,6689
5664,626412,2.1039,2024-01-10,Alienoid: Return to the Future,6.6,825
5665,238636,11.5322,2014-07-17,The Purge: Anarchy,6.628,6640
5666,136799,4.8064,2016-10-13,Trolls,6.628,3771
5667,10184,4.4883,2009-02-06,He's Just Not That Into You,6.6,3985
5668,3635,1.8679,2003-12-12,Girl with a Pearl Earring,6.628,1459
5669,80321,7.0708,2012-06-06,Madagascar 3: Europe's Most Wanted,6.627,6480
5670,41211,1.168,2010-03-17,Heartbreaker,6.627,1396
5671,16395,9.6219,1980-02-07,Inferno,6.627,663
5672,315872,5.7378,2015-04-16,Mia madre,6.6,371
5673,267999,1.4902,2014-06-12,White God,6.625,360
5674,49517,6.3776,2011-09-16,Tinker Tailor Soldier Spy,6.625,2860
5675,38718,1.618,1990-10-19,Reversal of Fortune,6.625,348
5676,27936,0.8715,2009-10-28,Micmacs,6.625,646
5677,5595,1.3419,2007-10-07,Fermat's Room,6.625,449
5678,20306,1.0723,1994-09-10,Swimming with Sharks,6.6,330
5679,17609,6.8854,2009-05-20,Antichrist,6.624,2783
5680,12609,1.6772,2000-10-06,Help! I'm a Fish,6.6,445
5681,1729,4.5353,2008-04-17,The Forbidden Kingdom,6.624,1869
5682,244539,0.7911,2014-01-18,Infinitely Polar Bear,6.623,391
5683,44865,4.0132,2013-01-10,The Grandmaster,6.623,962
5684,10691,1.7932,2001-06-29,Crazy/Beautiful,6.623,381
5685,10155,2.2562,1997-10-03,U Turn,6.625,791
5686,9913,2.5093,2005-07-29,The Skeleton Key,6.623,2237
5687,9410,2.0452,1998-01-30,Great Expectations,6.623,668
5688,814757,1.7925,2022-12-09,Empire of Light,6.622,609
5689,615904,17.6671,2022-02-09,Marry Me,6.622,1082
5690,555850,0.685,2018-11-02,The Holiday Calendar,6.622,1040
5691,417812,6.9768,2018-09-23,Wildlife,6.622,766
